2025-11-08 06:03:37,501 | INFO | hr-dashboard | Приложение стартовало
2025-11-08 06:05:48,446 | INFO | hr-dashboard | Приложение стартовало
2025-11-08 06:07:58,192 | INFO | hr-dashboard | Старт рендера блоков
2025-11-08 06:07:58,222 | INFO | hr-dashboard | Подготовка данных: active_df.shape=(3254, 16)
2025-11-08 06:07:58,241 | INFO | hr-dashboard | График 1 отрисован
2025-11-08 06:07:58,261 | INFO | hr-dashboard | График 2 отрисован
2025-11-08 06:07:58,267 | INFO | hr-dashboard | Метрики показаны
2025-11-08 06:07:58,631 | INFO | hr-dashboard | Scatter-график отрисован (точек: 3002)
2025-11-08 06:08:07,427 | INFO | hr-dashboard | Старт рендера блоков
2025-11-08 06:08:07,458 | INFO | hr-dashboard | Подготовка данных: active_df.shape=(3254, 16)
2025-11-08 06:08:07,478 | INFO | hr-dashboard | График 1 отрисован
2025-11-08 06:08:07,497 | INFO | hr-dashboard | График 2 отрисован
2025-11-08 06:08:07,502 | INFO | hr-dashboard | Метрики показаны
2025-11-08 06:08:07,862 | INFO | hr-dashboard | Scatter-график отрисован (точек: 3002)
2025-11-08 06:09:15,501 | INFO | hr-dashboard | Старт рендера блоков
2025-11-08 06:09:15,529 | INFO | hr-dashboard | Подготовка данных: active_df.shape=(3254, 16)
2025-11-08 06:09:15,713 | INFO | hr-dashboard | График 1 отрисован
2025-11-08 06:09:15,778 | INFO | hr-dashboard | График 2 отрисован
2025-11-08 06:09:15,783 | INFO | hr-dashboard | Метрики показаны
2025-11-08 06:09:16,126 | INFO | hr-dashboard | Scatter-график отрисован (точек: 3002)
2025-11-08 06:13:03,947 | INFO | hr-dashboard | Старт рендера блоков
2025-11-08 06:13:03,981 | INFO | hr-dashboard | Подготовка данных: active_df.shape=(3202, 16)
2025-11-08 06:13:03,987 | INFO | hr-dashboard | Фильтры применены: depts=[], positions=[], итоговых строк=3202
2025-11-08 06:13:04,005 | INFO | hr-dashboard | График 1 отрисован
2025-11-08 06:13:04,025 | INFO | hr-dashboard | График 2 отрисован
2025-11-08 06:13:04,030 | INFO | hr-dashboard | Метрики показаны
2025-11-08 06:13:04,356 | INFO | hr-dashboard | Scatter-график отрисован (точек: 3002)
2025-11-08 06:13:19,955 | INFO | hr-dashboard | Старт рендера блоков
2025-11-08 06:13:19,991 | INFO | hr-dashboard | Подготовка данных: active_df.shape=(3202, 16)
2025-11-08 06:13:20,000 | INFO | hr-dashboard | Фильтры применены: depts=[], positions=[], итоговых строк=3202
2025-11-08 06:13:20,018 | INFO | hr-dashboard | График 1 отрисован
2025-11-08 06:13:20,037 | INFO | hr-dashboard | График 2 отрисован
2025-11-08 06:13:20,042 | INFO | hr-dashboard | Метрики показаны
2025-11-08 06:13:20,382 | INFO | hr-dashboard | Scatter-график отрисован (точек: 3002)
2025-11-08 06:13:30,634 | INFO | hr-dashboard | Старт рендера блоков
2025-11-08 06:13:30,666 | INFO | hr-dashboard | Подготовка данных: active_df.shape=(3202, 16)
2025-11-08 06:13:30,675 | INFO | hr-dashboard | Фильтры применены: depts=[], positions=[], итоговых строк=3202
2025-11-08 06:13:30,694 | INFO | hr-dashboard | График 1 отрисован
2025-11-08 06:13:30,717 | INFO | hr-dashboard | График 2 отрисован
2025-11-08 06:13:30,724 | INFO | hr-dashboard | Метрики показаны
2025-11-08 06:13:31,100 | INFO | hr-dashboard | Scatter-график отрисован (точек: 3002)
2025-11-08 06:15:00,273 | INFO | hr-dashboard | Старт рендера блоков
2025-11-08 06:15:00,308 | INFO | hr-dashboard | Подготовка данных: active_df.shape=(3202, 16)
2025-11-08 06:15:00,316 | INFO | hr-dashboard | Фильтры применены: depts=[], positions=[], итоговых строк=3202
2025-11-08 06:15:00,339 | INFO | hr-dashboard | График 1 отрисован
2025-11-08 06:15:00,366 | INFO | hr-dashboard | График 2 отрисован
2025-11-08 06:15:00,374 | INFO | hr-dashboard | Метрики показаны
2025-11-08 06:15:00,803 | INFO | hr-dashboard | Старт рендера блоков
2025-11-08 06:15:00,839 | INFO | hr-dashboard | Подготовка данных: active_df.shape=(3202, 16)
2025-11-08 06:15:00,847 | INFO | hr-dashboard | Фильтры применены: depts=[], positions=[], итоговых строк=3202
2025-11-08 06:15:00,870 | INFO | hr-dashboard | График 1 отрисован
2025-11-08 06:15:00,897 | INFO | hr-dashboard | График 2 отрисован
2025-11-08 06:15:00,905 | INFO | hr-dashboard | Метрики показаны
2025-11-08 06:15:01,274 | INFO | hr-dashboard | Scatter-график отрисован (точек: 3002)
2025-11-08 06:16:48,194 | INFO | hr-dashboard | Старт рендера блоков
2025-11-08 06:16:48,228 | INFO | hr-dashboard | Подготовка данных: active_df.shape=(3202, 16)
2025-11-08 06:16:48,234 | INFO | hr-dashboard | Фильтры применены: depts=[], positions=[], итоговых строк=3202
2025-11-08 06:16:48,254 | INFO | hr-dashboard | График 1 отрисован
2025-11-08 06:16:48,274 | INFO | hr-dashboard | График 2 отрисован
2025-11-08 06:16:48,281 | INFO | hr-dashboard | Метрики показаны
2025-11-08 06:16:48,626 | INFO | hr-dashboard | Scatter-график отрисован (точек: 3002)
